Jan;51268
Per;42615
Bjørn;41039
Ole;32911
Kjell;31552
Lars;30188
Arne;30108
Knut;28268
Svein;27289
Hans;24616
Odd;24444
Tor;22979
Geir;22955
Terje;22475
Thomas;22247
Morten;22128
John;21274
Erik;20038
Anders;19652
Rune;19466
Martin;18455
Andreas;17919
Trond;17893
Tore;17632
Harald;17098
Olav;17039
Gunnar;16612
Jon;16467
Rolf;16398
Leif;16075
Tom;15643
Stian;15058
Kristian;14913
Nils;14558
Øyvind;14357
Helge;14131
Espen;14024
Einar;13608
Marius;13167
Kåre;12769
Daniel;12609
Magnus;12578
Fredrik;12283
Christian;12283
Steinar;12165
Eirik;11985
Håkon;11737
Øystein;11505
Henrik;11501
Frode;11448
Arild;10946
Ivar;10772
Jørgen;10553
Kjetil;10452
Frank;10447
Stein;10397
Johan;10251
Sverre;10142
Magne;10128
Petter;9935
Dag;9915
Alf;9891
Egil;9723
Vidar;9721
Stig;9660
Karl;9644
Jonas;9594
Pål;9405
Kenneth;9335
Tommy;9218
Roger;9202
Ola;9177
Kristoffer;8611
Erling;8559
Håvard;8549
Thor;8264
Reidar;8226
Eivind;8200
Asbjørn;8197
Finn;8112
Jens;8043
Roy;7931
Alexander;7911
Kim;7780
Torbjørn;7619
Bjarne;7493
Roar;7461
Simen;7412
Vegard;7401
Arvid;6990
Jarle;6975
Johannes;6765
Robert;6714
Sondre;6566
Mathias;6564
Ove;6527
Trygve;6502
Sigurd;6485
Sindre;6393
Jostein;6351
Joakim;6135
Erlend;6064
Jørn;6016
Oddvar;5985
Andre;5973
Atle;5887
Ronny;5790
Mats;5737
Emil;5711
Ragnar;5661
Inge;5401
Henning;5333
Aleksander;5219
Lasse;5206
Paul;5153
Even;5131
Kai;5091
Sander;5053
Markus;4947
Adrian;4946
Johnny;4904
Bjørnar;4870
Arve;4853
Tobias;4818
Åge;4744
Øivind;4440
Sebastian;4317
David;4258
Sven;4230
Torstein;4227
Christoffer;4219
Robin;4043
Peder;3986
Bård;3946
Benjamin;3893
Audun;3872
Birger;3829
Glenn;3826
Ståle;3811
Kurt;3801
Simon;3791
Peter;3727
Roald;3719
Sigmund;3644
Steffen;3591
Mads;3548
Torgeir;3539
Jakob;3504
Michael;3498
Arnt;3497
Willy;3486
Joachim;3468
Ørjan;3467
Carl;3420
Runar;3391
Bernt;3363
Marcus;3330
Harry;3268
Tormod;3264
Halvor;3123
Dagfinn;3041
Arnfinn;3040
Raymond;3023
Truls;3015
William;2996
Magnar;2978
Olaf;2949
Richard;2927
Jonny;2893
Mohammad;2880
Christer;2866
Elias;2785
Oddbjørn;2776
Cato;2664
Ruben;2622
Ketil;2619
Endre;2612
Oskar;2547
Ulf;2530
Herman;2512
Kevin;2492
Henry;2452
Georg;2435
Christopher;2413
Kent;2393
Yngve;2370
Bent;2321
Nikolai;2314
Otto;2282
Ottar;2276
Are;2263
Aksel;2235
Haakon;2184
Patrick;2182
Dan;2112
Bjarte;2084
Karsten;2077
Åsmund;2040
Vetle;2038
Sigbjørn;2024
Jo;2020
Isak;2016
Tomas;2015
Ingar;2006
Ali;1990
Preben;1987
Edvard;1940
Asle;1931
Amund;1913
Mikael;1909
Oliver;1895
Sivert;1895
Børge;1888
Aage;1840
Fred;1837
Gaute;1823
Sveinung;1791
Ernst;1777
Oddmund;1756
Jacob;1744
Thorbjørn;1725
Bengt;1716
Sten;1708
Trym;1697
Nicolai;1695
Bendik;1686
Arthur;1672
Jarl;1660
Torleif;1644
Alfred;1630
Hallvard;1600
Halvard;1597
Tony;1586
Jim;1554
Jesper;1547
Mikkel;1534
Viggo;1528
Idar;1520
Anton;1508
Oscar;1506
Ingvar;1502
Ken;1499
Leiv;1493
Mohamed;1486
Jonathan;1476
Snorre;1450
Vegar;1443
Gustav;1436
Thore;1426
Victor;1418
Remi;1409
Philip;1396
Kasper;1393
Tord;1378
Vebjørn;1378
Kolbjørn;1367
Eskil;1366
Stefan;1363
Iver;1354
Joar;1337
Gjermund;1324
Edvin;1321
Rasmus;1318
Viktor;1316
Dennis;1312
Sigve;1297
Freddy;1296
Mohammed;1283
Ahmed;1282
Brage;1279
Gudmund;1279
Arnold;1271
Svenn;1268
Kjartan;1263
Gisle;1260
Chris;1230
Hugo;1228
Sjur;1213
Filip;1204
Niklas;1204
Torfinn;1204
Øistein;1196
Odin;1184
Thorleif;1183
Aslak;1167
Asgeir;1162
Ivan;1153
Gard;1140
Arnstein;1137
Julian;1133
Gøran;1122
Ronald;1113
Jan-Erik;1111
Børre;1095
Agnar;1089
Axel;1082
Edgar;1068
Svend;1066
Ulrik;1054
Ingvald;1042
Yngvar;1041
Didrik;997
Kristen;997
Kaare;986
Paal;969
Gabriel;967
August;961
Hallgeir;952
Kyrre;942
Theodor;941
Jone;930
Karstein;917
Tim;900
Albert;898
Ragnvald;887
Ludvig;886
Erland;874
Klaus;871
Kay;862
Eilif;857
Mikal;851
Noah;848
Matias;845
Brede;844
Guttorm;844
Ådne;841
Ingolf;832
Jøran;826
Konrad;822
Jack;810
Eric;807
Arnulf;793
Bernhard;781
Tarjei;780
Wilhelm;773
Leon;759
Oddgeir;755
Toralf;752
Norvald;750
Samuel;732
Rene;727
Hassan;725
Krister;720
Werner;720
Casper;719
Hermann;716
Omar;706
Rolv;697
Hjalmar;696
Nicholas;690
Adam;675
Fritz;670
Walter;665
Hilmar;657
Sturla;657
Charles;656
Vemund;650
Fabian;646
Edmund;642
Muhammad;637
Torjus;636
Jahn;633
Heine;622
Brynjar;615
Felix;614
Lukas;614
Mustafa;614
Njål;613
Torgrim;609
Ibrahim;608
Niels;605
Torkel;601
Torleiv;599
Abdul;593
Nicolay;583
Malvin;579
Bo;568
Max;565
Tron;560
Villy;560
Brian;558
Morgan;557
Allan;547
Torger;542
Hermod;541
Leo;539
Carsten;537
Eldar;532
Jonatan;529
Gunvald;528
Tage;523
Thorstein;521
Claus;516
Aron;513
Jørund;513
Gerhard;511
Rudi;504
Jimmy;503
James;495
Lars-Erik;495
Rikard;495
Birk;494
Søren;493
Elling;492
Håvar;489
Fridtjof;488
Osvald;486
Jann;482
Amir;479
Lennart;474
Ahmad;473
Josef;471
Ludvik;469
Patrik;463
Jose;457
Thorvald;457
Ørnulf;449
Stephen;448
Wiggo;448
Eigil;446
Rudolf;444
Abdi;441
Ingebrigt;436
Oddvin;436
Mattis;434
Sture;433
Stephan;429
Ben;428
Ansgar;423
Frederik;422
Ole-Martin;421
Lucas;417
Alv;416
Eyvind;411
Mehmet;410
Steven;410
Sigvald;407
Sølve;407
Torvald;407
Ask;403
Nicolas;402
Nicklas;401
Eilert;400
Eskild;400
Normann;400
Baard;397
Said;396
Teodor;394
Alan;391
Esben;390
Andrew;389
Mark;385
Syver;383
Brynjulf;381
Hans-Petter;376
Aasmund;373
Bror;372
Haldor;369
Remy;366
Steve;365
Joacim;363
Mons;363
Hogne;362
Ingve;361
Torben;359
Ian;358
Eystein;357
Kaj;356
Halfdan;353
Holger;353
Alex;350
Torje;346
Edward;345
Ole-Kristian;341
Adnan;339
Rino;339
Leander;336
Gjert;334
Kim-Andre;334
Syed;334
Hasan;333
Sigfred;330
Lauritz;326
Osman;326
Carlos;325
Hallstein;325
Jean;323
Ronnie;323
Asmund;322
Juan;321
Frits;320
Marco;320
Gudbrand;317
Luis;317
Ismail;316
Svein-Erik;315
Niclas;314
Torkild;314
Thanh;313
Julius;312
Tonny;311
Khalid;310
Torkil;308
Mattias;305
Narve;305
Flemming;304
Viljar;304
Tom-Erik;302
Annar;301
Anthony;301
Mario;301
Per-Arne;299
Kennet;298
Olve;298
Scott;297
Frithjof;296
Tarald;294
Samir;291
Phillip;290
Tor-Erik;289
Kato;288
Hussein;286
Severin;286
Evald;285
Gorm;285
Joseph;284
Jonn;283
Bjørn-Erik;282
Johann;280
Laurits;278
Abdirahman;277
Sean;277
Skjalg;277
Jomar;275
Abdullah;272
Bertil;271
Oddleif;270
Benny;269
Andres;266
Leonard;266
Antonio;264
Martinus;263
Torolf;261
Thoralf;260
Ahmet;259
Bjørge;258
Theo;258
Fredrick;257
Levi;257
Borgar;256
Ferdinand;256
Lorentz;256
George;255
Torodd;254
Arnljot;252
Abdullahi;251
Jardar;250
Thormod;250
Bastian;249
Minh;249
Sigvart;249
Hamza;248
Ole-Christian;248
Tor-Arne;248
Odvar;237
Anfinn;235
Adolf;233
Andrzej;233
Ingmar;233
Louis;232
Mathis;232
Ole-Petter;232
Christen;230
Hamid;230
Marvin;229
Olai;229
Jarand;228
Joel;228
Halvdan;226
Per-Erik;225
Bilal;224
Piotr;223
Vilhelm;223
Eddie;219
Edin;218
Knud;216
Gert;214
Oluf;214
Artur;213
Ole-Jørgen;211
Yusuf;210
Tønnes;209
Krzysztof;208
Reinert;208
Ted;208
Nikolas;207
Noralf;207
Øyvin;207
Halvar;206
Vincent;205
Enok;204
Herbjørn;202
Linus;202
Sam;202
Widar;201
Jamal;200
Erich;
Gunder;
Joen;
Gulbrand;
Michel;
Tosten;
Poul;
Ellev;
Siur;
Arent;
Biørn;
Haagen;
Hendrich;
Abraham;
Johanes;
Henrich;
